"Attributes","Attribute Type","Required"
"ExtensionData","System.Runtime.Serialization.ExtensionDataObject","NO"
"AlternateEmailAddresses","System.Collections.Generic.List`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"AlternateMobilePhones","System.Collections.Generic.List`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"AlternativeSecurityIds","System.Collections.Generic.List`1[[Microsoft.Online.Administration.AlternativeSecurityId, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"BlockCredential","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"City","System.String","NO"
"CloudExchangeRecipientDisplayType","System.Nullable`1[[System.Int32, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"Country","System.String","NO"
"Department","System.String","NO"
"DirSyncProvisioningErrors","System.Collections.Generic.List`1[[Microsoft.Online.Administration.DirSyncProvisioningError, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"DisplayName","System.String","NO"
"Errors","System.Collections.Generic.List`1[[Microsoft.Online.Administration.ValidationError, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"Fax","System.String","NO"
"FirstName","System.String","NO"
"ImmutableId","System.String","NO"
"IndirectLicenseErrors","System.Collections.Generic.List`1[[Microsoft.Online.Administration.IndirectLicenseError, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"IsBlackberryUser","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"IsLicensed","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
