"Attributes","Attribute Type","Required"
"ExtensionProperty","System.Collections.Generic.Dictionary`2[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"DeletionTimestamp","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ObjectId","System.String","NO"
"ObjectType","System.String","NO"
"AccountEnabled","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"AgeGroup","System.String","NO"
"AssignedLicenses","System.Collections.Generic.List`1[[Microsoft.Open.AzureAD.Model.AssignedLicense, Microsoft.Open.AzureAD16.Graph.Client, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"AssignedPlans","System.Collections.Generic.List`1[[Microsoft.Open.AzureAD.Model.AssignedPlan, Microsoft.Open.AzureAD16.Graph.Client, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"City","System.String","NO"
"CompanyName","System.String","NO"
"ConsentProvidedForMiNOr","System.String","NO"
"Country","System.String","NO"
"CreationType","System.String","NO"
"Department","System.String","NO"
"DirSyncEnabled","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"DisplayName","System.String","NO"
"FacsimileTelephoneNumber","System.String","NO"
"GivenName","System.String","NO"
"IsCompromised","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ImmutableId","System.String","NO"
"JobTitle","System.String","NO"
"LastDirSyncTime","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"LegalAgeGroupClassification","System.String","NO"
"Mail","System.String","NO"
"MailNickName","System.String","NO"
"Mobile","System.String","NO"
"OnPremisesSecurityIdentifier","System.String","NO"
"OtherMails","System.Collections.Generic.List`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"PasswordPolicies","System.String","NO"
"PasswordProfile","Microsoft.Open.AzureAD.Model.PasswordProfile","NO"
"PhysicalDeliveryOfficeName","System.String","NO"
"PostalCode","System.String","NO"
"PreferredLanguage","System.String","NO"
"ProvisionedPlans","System.Collections.Generic.List`1[[Microsoft.Open.AzureAD.Model.ProvisionedPlan, Microsoft.Open.AzureAD16.Graph.Client, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"ProvisioningErrors","System.Collections.Generic.List`1[[Microsoft.Open.AzureAD.Model.ProvisioningError, Microsoft.Open.AzureAD16.Graph.Client, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"ProxyAddresses","System.Collections.Generic.List`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"RefreshTokensValidFromDateTime","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ShowInAddressList","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"SignInNames","System.Collections.Generic.List`1[[Microsoft.Open.AzureAD.Model.SignInName, Microsoft.Open.AzureAD16.Graph.Client, Version=2.0.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"SipProxyAddress","System.String","NO"
"State","System.String","NO"
"StreetAddress","System.String","NO"
"Surname","System.String","NO"
"TelephoneNumber","System.String","NO"
"UsageLocation","System.String","NO"
"UserPrincipalName","System.String","NO"
"UserState","System.String","NO"
"UserStateChangedOn","System.String","NO"
"UserType","System.String","NO"
