"Attributes","Attribute Type","Required"
"ExternalDirectoryObjectId","System.String","NO"
"Database","System.String","NO"
"MailboxProvisioningConstraint","System.Object","NO"
"IsMonitoringMailbox","System.Boolean","NO"
"MailboxRegion","System.Object","NO"
"MailboxRegionLastUpdateTime","System.Object","NO"
"MessageRecallProcessingEnabled","System.Boolean","NO"
"MessageCopyForSMTPClientSubmissionEnabled","System.Boolean","NO"
"MessageCopyForSentAsEnabled","System.Boolean","NO"
"MessageCopyForSendOnBehalfEnabled","System.Boolean","NO"
"MailboxProvisioningPreferences","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"UseDatabaseRetentionDefaults","System.Boolean","NO"
"RetainDeletedItemsUntilBackup","System.Boolean","NO"
"DeliverToMailboxAndForward","System.Boolean","NO"
"IsExcludedFromServingHierarchy","System.Boolean","NO"
"IsHierarchyReady","System.Boolean","NO"
"IsHierarchySyncEnabled","System.Boolean","NO"
"HasSnackyAppData","System.Boolean","NO"
"LitigationHoldEnabled","System.Boolean","NO"
"SingleItemRecoveryEnabled","System.Boolean","NO"
"RetentionHoldEnabled","System.Boolean","NO"
"EndDateForRetentionHold","System.Object","NO"
"StartDateForRetentionHold","System.Object","NO"
"RetentionComment","System.String","NO"
"RetentionUrl","System.String","NO"
"LitigationHoldDate","System.Object","NO"
"LitigationHoldOwner","System.String","NO"
"ElcProcessingDisabled","System.Boolean","NO"
"ComplianceTagHoldApplied","System.Boolean","NO"
"WasInactiveMailbox","System.Boolean","NO"
"DelayHoldApplied","System.Boolean","NO"
"InactiveMailboxRetireTime","System.Object","NO"
"OrphanSoftDeleteTrackingTime","System.Object","NO"
"LitigationHoldDuration","System.String","NO"
"ManagedFolderMailboxPolicy","System.Object","NO"
"RetentionPolicy","System.String","NO"
"AddressBookPolicy","System.Object","NO"
"CalendarRepairDisabled","System.Boolean","NO"
"ExchangeGuid","System.Guid","NO"
"MailboxContainerGuid","System.Object","NO"
"UnifiedMailbox","System.Object","NO"
"MailboxLocations","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AggregatedMailboxGuids","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ExchangeSecurityDescriptor","System.String","NO"
"ExchangeUserAccountControl","System.String","NO"
"MessageTrackingReadStatusEnabled","System.Boolean","NO"
"ExternalOofOptions","System.String","NO"
"ForwardingAddress","System.Object","NO"
"ForwardingSmtpAddress","System.Object","NO"
"RetainDeletedItemsFor","System.String","NO"
"IsMailboxEnabled","System.Boolean","NO"
"Languages","System.Collections.ArrayList","NO"
"OfflineAddressBook","System.Object","NO"
"ProhibitSendQuota","System.String","NO"
"ProhibitSendReceiveQuota","System.String","NO"
"RecoverableItemsQuota","System.String","NO"
"RecoverableItemsWarningQuota","System.String","NO"
"CalendarLoggingQuota","System.String","NO"
"DowngradeHighPriorityMessagesEnabled","System.Boolean","NO"
"ProtocolSettings","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"RecipientLimits","System.String","NO"
"ImListMigrationCompleted","System.Boolean","NO"
"SiloName","System.Object","NO"
"IsResource","System.Boolean","NO"
"IsLinked","System.Boolean","NO"
"IsShared","System.Boolean","NO"
"IsRootPublicFolderMailbox","System.Boolean","NO"
"LinkedMasterAccount","System.String","NO"
"ResetPasswordOnNextLogon","System.Boolean","NO"
"ResourceCapacity","System.Object","NO"
"ResourceCustom","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"ResourceType","System.Object","NO"
"RoomMailboxAccountEnabled","System.Object","NO"
"SamAccountName","System.String","NO"
"SCLDeleteThreshold","System.Object","NO"
"SCLDeleteEnabled","System.Object","NO"
"SCLRejectThreshold","System.Object","NO"
"SCLRejectEnabled","System.Object","NO"
"SCLQuarantineThreshold","System.Object","NO"
"SCLQuarantineEnabled","System.Object","NO"
"SCLJunkThreshold","System.Object","NO"
"SCLJunkEnabled","System.Object","NO"
"AntispamBypassEnabled","System.Boolean","NO"
"ServerLegacyDN","System.String","NO"
"UseDatabaseQuotaDefaults","System.Boolean","NO"
"IssueWarningQuota","System.String","NO"
"RulesQuota","System.String","NO"
"Office","System.String","NO"
"UserPrincipalName","System.String","NO"
"UMEnabled","System.Boolean","NO"
"MaxSafeSenders","System.Object","NO"
"MaxBlockedSenders","System.Object","NO"
"NetID","System.String","NO"
"ReconciliationId","System.Object","NO"
"WindowsLiveID","System.String","NO"
"MicrosoftOnlineServicesID","System.String","NO"
"ThrottlingPolicy","System.Object","NO"
"RoleAssignmentPolicy","System.String","NO"
"DefaultPublicFolderMailbox","System.Object","NO"
"EffectivePublicFolderMailbox","System.Object","NO"
"SharingPolicy","System.String","NO"
"RemoteAccountPolicy","System.Object","NO"
"MailboxPlan","System.String","NO"
"ArchiveDatabase","System.Object","NO"
"ArchiveGuid","System.Guid","NO"
"ArchiveName","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"JournalArchiveAddress","System.String","NO"
"ArchiveQuota","System.String","NO"
"ArchiveWarningQuota","System.String","NO"
"ArchiveDomain","System.Object","NO"
"ArchiveStatus","System.String","NO"
"ArchiveState","System.String","NO"
"AutoExpandingArchiveEnabled","System.Boolean","NO"
"DisabledMailboxLocations","System.Boolean","NO"
"RemoteRecipientType","System.String","NO"
"DisabledArchiveDatabase","System.Object","NO"
"DisabledArchiveGuid","System.Guid","NO"
"QueryBaseDN","System.Object","NO"
"QueryBaseDNRestrictionEnabled","System.Boolean","NO"
"MailboxMoveTargetMDB","System.Object","NO"
"MailboxMoveSourceMDB","System.Object","NO"
"MailboxMoveFlags","System.String","NO"
"MailboxMoveRemoteHostName","System.String","NO"
"MailboxMoveBatchName","System.String","NO"
"MailboxMoveStatus","System.String","NO"
"MailboxRelease","System.String","NO"
"ArchiveRelease","System.String","NO"
"IsPersonToPersonTextMessagingEnabled","System.Boolean","NO"
"IsMachineToPersonTextMessagingEnabled","System.Boolean","NO"
"CalendarVersionStoreDisabled","System.Boolean","NO"
"ImmutableId","System.String","NO"
"PersistedCapabilities","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"SKUAssigned","System.Boolean","NO"
"AuditEnabled","System.Boolean","NO"
"AuditLogAgeLimit","System.String","NO"
"AuditAdmin","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AuditDelegate","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AuditOwner","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"DefaultAuditSet","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"WhenMailboxCreated","System.DateTime","NO"
"SourceAnchor","System.String","NO"
"UsageLocation","System.String","NO"
"IsSoftDeletedByRemove","System.Boolean","NO"
"IsSoftDeletedByDisable","System.Boolean","NO"
"IsInactiveMailbox","System.Boolean","NO"
"IncludeInGarbageCollection","System.Boolean","NO"
"WhenSoftDeleted","System.Object","NO"
"InPlaceHolds","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"GeneratedOfflineAddressBooks","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AccountDisabled","System.Boolean","NO"
"StsRefreshTokensValidFrom","System.DateTime","NO"
"NOnCompliantDevices","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"DataEncryptionPolicy","System.Object","NO"
"Extensions","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"HasPicture","System.Boolean","NO"
"HasSpokenName","System.Boolean","NO"
"IsDirSynced","System.Boolean","NO"
"AcceptMessagesOnlyFrom","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AcceptMessagesOnlyFromDLMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AcceptMessagesOnlyFromSendersOrMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AddressListMembership","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"AdministrativeUnits","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"Alias","System.String","NO"
"ArbitrationMailbox","System.Object","NO"
"BypassModerationFromSendersOrMembers","Microsoft.Exchange.Management.RestApiClient.CustomList","NO"
"OrganizationalUnit","System.String","NO"
"CustomAttribute1","System.String","NO"
"CustomAttribute10","System.String","NO"
"CustomAttribute11","System.String","NO"
"CustomAttribute12","System.String","NO"
"CustomAttribute13","System.String","NO"
"CustomAttribute14","System.String","NO"
"CustomAttribute15","System.String","NO"
"CustomAttribute2","System.String","NO"
