"Attributes","Attribute Type","Required"
"AccountEnabled","System.Boolean","NO"
"AccountType","System.String","NO"
"Alias","System.String","NO"
"ApplicationAccessPolicy","System.Object","NO"
"AssignedPlan","Microsoft.Teams.ConfigAPI.Cmdlets.Generated.Models.IAssignedPlan[]","NO"
"CallingLineIdentity","System.Object","NO"
"City","System.String","NO"
"Company","System.String","NO"
"Country","System.String","NO"
"CountryAbbreviation","System.String","NO"
"Department","System.String","NO"
"DialPlan","System.String","NO"
"DisplayName","System.String","NO"
"EnterpriseVoiceEnabled","System.Boolean","NO"
"ExternalAccessPolicy","Microsoft.Teams.ConfigAPI.Cmdlets.Generated.Models.UserPolicyDefinition","NO"
"FeatureTypes","System.String[]","NO"
"GivenName","System.String","NO"
"HideFromAddressLists","System.Boolean","NO"
"HostingProvider","System.String","NO"
"Identity","System.String","NO"
"InterpretedUserType","System.String","NO"
"IsSipEnabled","System.Boolean","NO"
"LastName","System.String","NO"
"LineUri","System.Object","NO"
"LocationPolicy","System.Object","NO"
"OnPremEnterpriseVoiceEnabled","System.Boolean","NO"
"OnPremHostingProvider","System.Object","NO"
"OnPremLineUri","System.Object","NO"
"OnPremOptionFlags","System.Object","NO"
"OnPremSIPEnabled","System.Boolean","NO"
"OnPremSipAddress","System.Object","NO"
"OnlineAudioConferencingRoutingPolicy","System.Object","NO"
"OnlineDialOutPolicy","System.Object","NO"
"OnlineVoiceRoutingPolicy","System.Object","NO"
"OnlineVoicemailPolicy","System.Object","NO"
"OwnerUrn","System.Object","NO"
"PostalCode","System.String","NO"
"PreferredDataLocation","System.Object","NO"
"PreferredLanguage","System.String","NO"
"ProvisionedPlan","Microsoft.Teams.ConfigAPI.Cmdlets.Generated.Models.IUserProvisionedPlan[]","NO"
"ProxyAddresses","System.String[]","NO"
"ShadowProxyAddresses","System.String[]","NO"
"SipAddress","System.String","NO"
"SipProxyAddress","System.String","NO"
"SoftDeletionTimestamp","System.Object","NO"
"StateOrProvince","System.String","NO"
"Street","System.Object","NO"
"TeamsAppPermissionPolicy","System.Object","NO"
"TeamsAppSetupPolicy","System.Object","NO"
"TeamsAudioConferencingPolicy","System.Object","NO"
"TeamsCallHoldPolicy","System.Object","NO"
"TeamsCallParkPolicy","System.Object","NO"
"TeamsCallingPolicy","System.Object","NO"
"TeamsCarrierEmergencyCallRoutingPolicy","System.Object","NO"
"TeamsChannelsPolicy","System.Object","NO"
"TeamsComplianceRecordingPolicy","System.Object","NO"
"TeamsCortanaPolicy","System.Object","NO"
"TeamsEducationAssignmentsAppPolicy","System.Object","NO"
"TeamsEmergencyCallRoutingPolicy","System.Object","NO"
"TeamsEmergencyCallingPolicy","System.Object","NO"
"TeamsEnhancedEncryptionPolicy","System.Object","NO"
"TeamsEventsPolicy","System.Object","NO"
"TeamsFeedbackPolicy","System.Object","NO"
"TeamsFilesPolicy","System.Object","NO"
"TeamsIPPhonePolicy","System.Object","NO"
"TeamsMediaLoggingPolicy","System.Object","NO"
"TeamsMeetingBrandingPolicy","System.Object","NO"
"TeamsMeetingBroadcastPolicy","System.Object","NO"
"TeamsMeetingPolicy","System.Object","NO"
"TeamsMessagingPolicy","System.Object","NO"
"TeamsMobilityPolicy","System.Object","NO"
"TeamsNetworkRoamingPolicy","System.Object","NO"
"TeamsNOtificationAndFeedsPolicy","System.Object","NO"
"TeamsOwnersPolicy","System.Object","NO"
"TeamsRoomVideoTeleConferencingPolicy","System.Object","NO"
"TeamsShiftsAppPolicy","System.Object","NO"
"TeamsShiftsPolicy","System.Object","NO"
"TeamsSurvivableBranchAppliancePolicy","System.Object","NO"
"TeamsSyntheticAutomatedCallPolicy","System.Object","NO"
"TeamsTargetingPolicy","System.Object","NO"
"TeamsTasksPolicy","System.Object","NO"
"TeamsTemplatePermissionPolicy","System.Object","NO"
"TeamsUpdateManagementPolicy","System.Object","NO"
"TeamsUpgradeEffectiveMode","System.String","NO"
"TeamsUpgradeNOtificationsEnabled","System.String","NO"
"TeamsUpgradeOverridePolicy","System.Object","NO"
"TeamsUpgradePolicy","Microsoft.Teams.ConfigAPI.Cmdlets.Generated.Models.UserPolicyDefinition","NO"
"TeamsUpgradePolicyIsReadOnly","System.String","NO"
"TeamsVdiPolicy","System.Object","NO"
"TeamsVerticalPackagePolicy","System.Object","NO"
"TeamsVideoInteropServicePolicy","System.Object","NO"
"TeamsVoiceApplicationsPolicy","System.Object","NO"
"TenantDialPlan","System.Object","NO"
"TenantId","System.String","NO"
"Title","System.Object","NO"
"UsageLocation","System.String","NO"
"UserDirSyncEnabled","System.Object","NO"
"UserPrincipalName","System.String","NO"
"UserValidationErrors","Microsoft.Teams.ConfigAPI.Cmdlets.Generated.Models.IUserValidationError[]","NO"
"WhenChanged","System.DateTime","NO"
"WhenCreated","System.Object","NO"
