"Attributes","Attribute Type","Required"
"AccessType","System.String","NO"
"AuditLogAgeLimit","System.String","NO"
"AutoSubscribeNewMembers","System.Boolean","NO"
"AlwaysSubscribeMembersToCalendarEvents","System.Boolean","NO"
"CalendarMemberReadOnly","","NO"
"CalendarUrl","System.String","NO"
"Database","System.String","NO"
"ExchangeGuid","System.Guid","NO"
"FileNOtificationsSettings","","NO"
"GroupSKU","System.String","NO"
"InboxUrl","System.String","NO"
"IsExternalResourcesPublished","System.Boolean","NO"
"IsMailboxConfigured","System.Boolean","NO"
"Language","System.Globalization.CultureInfo","NO"
"MailboxProvisioningConstraint","","NO"
"ManagedByDetails","Deserialized.Microsoft.Exchange.Data.Directory.Management.IdentityDetails[]","NO"
"NOtes","System.String","NO"
"PeopleUrl","System.String","NO"
"PhotoUrl","System.String","NO"
"ServerName","System.String","NO"
"SharePointSiteUrl","System.String","NO"
"SharePointDocumentsUrl","System.String","NO"
"SharePointNOtebookUrl","","NO"
"SubscriptionEnabled","System.Boolean","NO"
"WelcomeMessageEnabled","System.Boolean","NO"
"ConnectorsEnabled","System.Boolean","NO"
"IsMembershipDynamic","System.Boolean","NO"
"Classification","","NO"
"GroupPersonification","","NO"
"YammerEmailAddress","System.String","NO"
"GroupMemberCount","System.Int32","NO"
"MailboxRegion","","NO"
"GroupExternalMemberCount","System.Int32","NO"
"AllowAddGuests","System.Boolean","NO"
"WhenSoftDeleted","","NO"
"HiddenFromExchangeClientsEnabled","System.Boolean","NO"
"ExpirationTime","","NO"
"DataEncryptionPolicy","","NO"
"ResourceProvisioningOptions","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"InformationBarrierMode","System.String","NO"
"ResourceBehaviorOptions","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ServiceEndpointUris","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"SensitivityLabel","","NO"
"InPlaceHolds","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"InPlaceHoldsRaw","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"IsMemberAllowedToEditContent","","NO"
"EmailAddresses","Deserialized.Microsoft.Exchange.Data.ProxyAddressCollection","NO"
"PrimarySmtpAddress","System.String","NO"
"Name","System.String","NO"
"DisplayName","System.String","NO"
"RequireSenderAuthenticationEnabled","System.Boolean","NO"
"ModerationEnabled","System.Boolean","NO"
"SendModerationNOtifications","System.String","NO"
"SendOofMessageToOriginatorEnabled","System.Boolean","NO"
"BypassModerationFromSendersOrMembers","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"ModeratedBy","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"GroupType","System.String","NO"
"IsDirSynced","System.Boolean","NO"
"ManagedBy","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"MigrationToUnifiedGroupInProgress","System.Boolean","NO"
"HiddenGroupMembershipEnabled","System.Boolean","NO"
"ExpansionServer","System.String","NO"
"ReportToManagerEnabled","System.Boolean","NO"
"ReportToOriginatorEnabled","System.Boolean","NO"
"Description","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"BccBlocked","System.Boolean","NO"
"AcceptMessagesOnlyFrom","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"AcceptMessagesOnlyFromDLMembers","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"AcceptMessagesOnlyFromSendersOrMembers","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
