"Attributes","Attribute Type","Required"
"AllowDownloadingNOnWebViewableFiles","System.Boolean","NO"
"AllowEditing","System.Boolean","NO"
"AllowSelfServiceUpgrade","System.Boolean","NO"
"ANOnymousLinkExpirationInDays","System.Int32","NO"
"AuthContextStrength","System.String","NO"
"AverageResourceUsage","System.Double","NO"
"BlockDownloadLinksFileType","Microsoft.Online.SharePoint.TenantManagement.BlockDownloadLinksFileTypes","NO"
"CommentsOnSitePagesDisabled","System.Boolean","NO"
"CompatibilityLevel","System.Int32","NO"
"ConditionalAccessPolicy","Microsoft.Online.SharePoint.TenantManagement.SPOConditionalAccessPolicyType","NO"
"CurrentResourceUsage","System.Double","NO"
"DefaultLinkPermission","Microsoft.Online.SharePoint.TenantManagement.SharingPermissionType","NO"
"DefaultLinkToExistingAccess","System.Boolean","NO"
"DefaultLinkToExistingAccessReset","System.Boolean","NO"
"DefaultSharingLinkType","Microsoft.Online.SharePoint.TenantManagement.SharingLinkType","NO"
"DenyAddAndCustomizePages","Microsoft.Online.SharePoint.TenantAdministration.DenyAddAndCustomizePagesStatus","NO"
"Description","System.String","NO"
"DisableAppViews","Microsoft.Online.SharePoint.TenantAdministration.AppViewsPolicy","NO"
"DisableCompanyWideSharingLinks","Microsoft.Online.SharePoint.TenantAdministration.CompanyWideSharingLinksPolicy","NO"
"DisableFlows","Microsoft.Online.SharePoint.TenantAdministration.FlowsPolicy","NO"
"ExternalUserExpirationInDays","System.Int32","NO"
"GroupId","System.Guid","NO"
"GroupOwnerLoginName","System.String","NO"
"HasHolds","System.Boolean","NO"
"HubSiteId","System.Guid","NO"
"IBSegments","System.Guid[]","NO"
"IBSegmentsToAdd","System.Guid[]","NO"
"IBSegmentsToRemove","System.Guid[]","NO"
"IsGroupOwnerSiteAdmin","System.Boolean","NO"
"IsHubSite","System.Boolean","NO"
"LastContentModifiedDate","System.DateTime","NO"
"Lcid","System.UInt32","NO"
"LimitedAccessFileType","Microsoft.Online.SharePoint.TenantManagement.SPOLimitedAccessFileType","NO"
"LockIssue","System.String","NO"
"LockState","System.String","NO"
"OverrideTenantANOnymousLinkExpirationPolicy","System.Boolean","NO"
"OverrideTenantExternalUserExpirationPolicy","System.Boolean","NO"
"Owner","System.String","NO"
"OwnerEmail","System.String","NO"
"OwnerLoginName","System.String","NO"
"OwnerName","System.String","NO"
"PWAEnabled","Microsoft.Online.SharePoint.TenantAdministration.PWAEnabledStatus","NO"
"RelatedGroupId","System.Guid","NO"
"RestrictedToRegion","Microsoft.Online.SharePoint.TenantAdministration.RestrictedToRegion","NO"
"SandboxedCodeActivationCapability","Microsoft.Online.SharePoint.TenantAdministration.SandboxedCodeActivationCapabilities","NO"
"SensitivityLabel","System.Guid","NO"
"SensitivityLabel2","System.String","NO"
"SetOwnerWithoutUpdatingSecondaryAdmin","System.Boolean","NO"
"SharingAllowedDomainList","System.String","NO"
"SharingBlockedDomainList","System.String","NO"
"SharingCapability","Microsoft.Online.SharePoint.TenantManagement.SharingCapabilities","NO"
"SharingDomainRestrictionMode","Microsoft.Online.SharePoint.TenantManagement.SharingDomainRestrictionModes","NO"
"ShowPeoplePickerSuggestionsForGuestUsers","System.Boolean","NO"
"SiteDefinedSharingCapability","Microsoft.Online.SharePoint.TenantManagement.SharingCapabilities","NO"
"SocialBarOnSitePagesDisabled","System.Boolean","NO"
"Status","System.String","NO"
"StorageMaximumLevel","System.Int64","NO"
"StorageQuotaType","System.String","NO"
"StorageUsage","System.Int64","NO"
"StorageWarningLevel","System.Int64","NO"
"Template","System.String","NO"
"TimeZoneId","System.Int32","NO"
"Title","System.String","NO"
"Url","System.String","NO"
"UserCodeMaximumLevel","System.Double","NO"
"UserCodeWarningLevel","System.Double","NO"
"WebsCount","System.Int32","NO"
"Context","Microsoft.SharePoint.Client.ClientRuntimeContext","NO"
"Tag","System.Object","NO"
"Path","Microsoft.SharePoint.Client.ObjectPath","NO"
"ObjectVersion","System.String","NO"
"ServerObjectIsNull","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"TypedObject","Microsoft.SharePoint.Client.ClientObject","NO"
